,0,1,accuracy,macro avg,weighted avg
precision,0.6547643761677393,0.5560791705937794,0.6155,0.6054217733807594,0.6124160873258138
recall,0.6906065250711627,0.5155840372851733,0.6155,0.603095281178168,0.6155
f1-score,0.6722080136402387,0.5350665054413543,0.6155,0.6036372595407965,0.6133571639343924
support,4567.0,3433.0,0.6155,8000.0,8000.0
