,0,1,accuracy,macro avg,weighted avg
precision,0.706441393875396,0.6257274119448698,0.6735,0.6660844029101329,0.671805006379459
recall,0.7324282899058463,0.5951063210020391,0.6735,0.6637673054539427,0.6735
f1-score,0.7192001720060202,0.6100328456255599,0.6735,0.66461650881579,0.6723537430730052
support,4567.0,3433.0,0.6735,8000.0,8000.0
